Participant1,Participant2,Participant3,Participant4,Participant5,Participant6,Participant7,Participant8,Participant9,Participant10,Participant11,Participant12,Participant13,Participant14,Participant15,Participant16,Participant17,Participant18,Participant19,Participant20,Participant21,Participant22,Participant23,Participant24,Participant25,Participant26,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_instr.started,image_instr1.started,image_instr2.started,image_illus.started,image_next.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,text_3.started,text_2.started,key_resp.started,text_4.started,key_resp.keys,key_resp.rt,key_resp_2.started,text_5.started,text_5.stopped,key_resp_2.keys,key_resp_2.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.861685300000318,13.861685300000318,13.861685300000318,13.861685300000318,13.861685300000318,3.220000144210644e-05,[0.5840277777777778],[-0.3875],[1],[0],[0],[2.6139453999985562],['image_next'],,,,,,,,,,,,0,001,2023-09-27_19h50.09.949,untitled,2022.2.5,60.069187689896495,
30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,0,0,0,0,,,,,,,,,,,,,,16.469317400000364,16.469317400000364,16.469317400000364,16.469317400000364,space,4.291338600000017,20.786676400000943,20.786676400000943,21.786154200000965,space,19.92877359999875,0,001,2023-09-27_19h50.09.949,untitled,2022.2.5,60.069187689896495,
30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,105,0,1,1,1,,,,,,,,,,,,,,40.746854600000006,40.746854600000006,40.746854600000006,40.746854600000006,space,4.801724199998716,45.578916300000856,45.578916300000856,46.57876639999995,space,13.732477800000197,0,001,2023-09-27_19h50.09.949,untitled,2022.2.5,60.069187689896495,
30,30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,0,2,2,2,,,,,,,,,,,,,,59.34112749999986,59.34112749999986,59.34112749999986,59.34112749999986,space,2.1073583999987022,61.47383509999963,61.47383509999963,62.47348670000065,space,5.3607118999989325,0,001,2023-09-27_19h50.09.949,untitled,2022.2.5,60.069187689896495,
105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,105,60,0,3,3,3,,,,,,,,,,,,,,66.85687210000106,66.85687210000106,66.85687210000106,66.85687210000106,space,4.892454999999245,71.77053650000016,71.77053650000016,72.77068390000022,space,5.061214499999551,0,001,2023-09-27_19h50.09.949,untitled,2022.2.5,60.069187689896495,
120,30,30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,0,4,4,4,,,,,,,,,,,,,,76.85348220000014,76.85348220000014,76.85348220000014,76.85348220000014,space,0.4534889000005933,77.33588380000037,77.33588380000037,,space,0.2782881000002817,0,001,2023-09-27_19h50.09.949,untitled,2022.2.5,60.069187689896495,
105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,105,60,30,0,5,5,5,,,,,,,,,,,,,,77.63537309999992,77.63537309999992,77.63537309999992,77.63537309999992,space,0.4678841000004468,78.13573120000001,78.13573120000001,79.1354009000006,space,1.9346979999991163,0,001,2023-09-27_19h50.09.949,untitled,2022.2.5,60.069187689896495,
60,120,30,30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,0,6,6,6,,,,,,,,,,,,,,80.10153379999974,80.10153379999974,80.10153379999974,80.10153379999974,space,0.20471229999930074,80.33462660000077,80.33462660000077,,space,0.14347129999987374,0,001,2023-09-27_19h50.09.949,untitled,2022.2.5,60.069187689896495,
60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,105,60,30,60,0,7,7,7,,,,,,,,,,,,,,80.50112830000035,80.50112830000035,80.50112830000035,80.50112830000035,space,0.13143189999937022,80.6509201000008,80.6509201000008,,space,0.1410089999990305,0,001,2023-09-27_19h50.09.949,untitled,2022.2.5,60.069187689896495,
30,60,120,30,30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,0,8,8,8,,,,,,,,,,,,,,80.81768180000108,80.81768180000108,80.81768180000108,80.81768180000108,space,0.14388419999886537,80.98472080000101,80.98472080000101,,space,0.14003689999844937,0,001,2023-09-27_19h50.09.949,untitled,2022.2.5,60.069187689896495,
