Participant1,Participant2,Participant3,Participant4,Participant5,Participant6,Participant7,Participant8,Participant9,Participant10,Participant11,Participant12,Participant13,Participant14,Participant15,Participant16,Participant17,Participant18,Participant19,Participant20,Participant21,Participant22,Participant23,Participant24,Participant25,Participant26,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_instr.started,image_next.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,text_3.started,text_2.started,key_resp.started,text_4.started,key_resp.keys,key_resp.rt,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.251206499990076,13.251206499990076,2.7999980375170708e-05,[0.6215277777777778],[-0.4083333333333333],[1],[0],[0],[6.926987299986649],['image_next'],,,,,,,,,,demo,001,2023-10-02_19h07.37.094,Demo_timePStroop,2022.2.5,59.774006434422965,
30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,0,0,0,0,,,,,,,,,,,20.170394699962344,20.170394699962344,20.170394699962344,20.170394699962344,space,2.3022469999850728,22.4947106000036,space,25.726792100002058,demo,001,2023-10-02_19h07.37.094,Demo_timePStroop,2022.2.5,59.774006434422965,
30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,105,0,1,1,1,,,,,,,,,,,48.25448259996483,48.25448259996483,48.25448259996483,48.25448259996483,space,3.0604584999964572,51.33586379996268,space,32.46358539996436,demo,001,2023-10-02_19h07.37.094,Demo_timePStroop,2022.2.5,59.774006434422965,
30,30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,0,2,2,2,,,,,,,,,,,83.82697539997753,83.82697539997753,83.82697539997753,83.82697539997753,space,2.533554599969648,86.39195749995997,space,33.02820870000869,demo,001,2023-10-02_19h07.37.094,Demo_timePStroop,2022.2.5,59.774006434422965,
105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,105,60,0,3,3,3,,,,,,,,,,,119.44925669999793,119.44925669999793,119.44925669999793,119.44925669999793,space,2.428415199974552,121.8977498000022,space,104.8602063000435,demo,001,2023-10-02_19h07.37.094,Demo_timePStroop,2022.2.5,59.774006434422965,
120,30,30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,0,4,4,4,,,,,,,,,,,226.7829780000029,226.7829780000029,226.7829780000029,226.7829780000029,space,1.8168035999988206,228.63154659996508,space,142.43726039998,demo,001,2023-10-02_19h07.37.094,Demo_timePStroop,2022.2.5,59.774006434422965,
105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,105,60,30,0,5,5,5,,,,,,,,,,,371.08854430000065,371.08854430000065,371.08854430000065,371.08854430000065,space,7.7617648000014015,378.8683861999889,space,109.01727040001424,demo,001,2023-10-02_19h07.37.094,Demo_timePStroop,2022.2.5,59.774006434422965,
60,120,30,30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,0,6,6,6,,,,,,,,,,,487.9194781999686,487.9194781999686,487.9194781999686,487.9194781999686,space,1.3522782000363804,489.30134309997084,space,68.31641359999776,demo,001,2023-10-02_19h07.37.094,Demo_timePStroop,2022.2.5,59.774006434422965,
60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,105,60,30,60,0,7,7,7,,,,,,,,,,,557.6478244999889,557.6478244999889,557.6478244999889,557.6478244999889,space,96.5890236000414,654.2670103000128,space,68.78775720001431,demo,001,2023-10-02_19h07.37.094,Demo_timePStroop,2022.2.5,59.774006434422965,
30,60,120,30,30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,0,8,8,8,,,,,,,,,,,723.0805215999717,723.0805215999717,723.0805215999717,723.0805215999717,space,9.734824499988463,732.8432283999864,space,32.31170339998789,demo,001,2023-10-02_19h07.37.094,Demo_timePStroop,2022.2.5,59.774006434422965,
