Participant1,Participant2,Participant3,Participant4,Participant5,Participant6,Participant7,Participant8,Participant9,Participant10,Participant11,Participant12,Participant13,Participant14,Participant15,Participant16,Participant17,Participant18,Participant19,Participant20,Participant21,Participant22,Participant23,Participant24,Participant25,Participant26,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,distractor.thisRepN,distractor.thisTrialN,distractor.thisN,distractor.thisIndex,word,color,correct,text_instr.started,image_next.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,text_3.started,text_2.started,key_resp.started,text_4.started,key_resp.keys,key_resp.rt,key_resp_2.started,key_resp_3.started,text_5.started,stopb.started,stopl.started,stopr.started,text_6.started,key_resp_2.keys,key_resp_3.keys,key_resp_3.rt,key_resp_2.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.488298600015696,10.488298600015696,4.600000102072954e-05,[0.6236111111111111],[-0.41180555555555554],[1],[0],[0],[3.295868400018662],['image_next'],,,,,,,,,,,,,,,,,,164587,001,2023-09-29_14h37.11.810,try_music_stroop,2022.2.5,60.15822816496914,
30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,0,0,0,0,,,,,,,,,,,,,,,,,,13.770901800016873,13.770901800016873,13.770901800016873,13.770901800016873,space,1.980443499982357,16.639656600018498,16.639656600018498,16.639656600018498,16.639656600018498,16.639656600018498,16.639656600018498,16.639656600018498,space,None,0.8103472999937367,0.5481908000074327,164587,001,2023-09-29_14h37.11.810,try_music_stroop,2022.2.5,60.15822816496914,
30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,105,0,1,1,1,,,,,,,,,,,,,,,,,,17.28918859999976,17.28918859999976,17.28918859999976,17.28918859999976,space,0.41896940002334304,17.735141700017266,17.735141700017266,17.735141700017266,17.735141700017266,17.735141700017266,17.735141700017266,17.735141700017266,space,None,,0.40985370002454147,164587,001,2023-09-29_14h37.11.810,try_music_stroop,2022.2.5,60.15822816496914,
30,30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,0,2,2,2,,,,,,,,,,,,,,,,,,18.254721900011646,18.254721900011646,18.254721900011646,18.254721900011646,space,0.3273697000113316,18.618249199993443,18.618249199993443,18.618249199993443,18.618249199993443,18.618249199993443,18.618249199993443,18.618249199993443,space,None,,0.3238079000147991,164587,001,2023-09-29_14h37.11.810,try_music_stroop,2022.2.5,60.15822816496914,
105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,105,60,0,3,3,3,,,,,,,,,,,,,,,,,,19.039922500000102,19.039922500000102,19.039922500000102,19.039922500000102,space,0.4143412000266835,19.49035599999479,19.49035599999479,19.49035599999479,19.49035599999479,19.49035599999479,19.49035599999479,19.49035599999479,space,None,,0.25656820001313463,164587,001,2023-09-29_14h37.11.810,try_music_stroop,2022.2.5,60.15822816496914,
120,30,30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,0,4,4,4,,,,,,,,,,,,,,,,,,19.854115699999966,19.854115699999966,19.854115699999966,19.854115699999966,space,0.33798929999466054,20.22420329999295,20.22420329999295,20.22420329999295,20.22420329999295,20.22420329999295,20.22420329999295,20.22420329999295,space,None,,0.21567340000183322,164587,001,2023-09-29_14h37.11.810,try_music_stroop,2022.2.5,60.15822816496914,
105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,105,60,30,0,5,5,5,,,,,,,,,,,,,,,,,,20.555996700015385,20.555996700015385,20.555996700015385,20.555996700015385,space,0.17727949999971315,20.771344700013287,20.771344700013287,20.771344700013287,20.771344700013287,20.771344700013287,20.771344700013287,20.771344700013287,space,None,,0.24232069999561645,164587,001,2023-09-29_14h37.11.810,try_music_stroop,2022.2.5,60.15822816496914,
60,120,30,30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,0,6,6,6,,,,,,,,,,,,,,,,,,21.12365779999527,21.12365779999527,21.12365779999527,21.12365779999527,space,0.13417740000295453,21.287273099995218,21.287273099995218,21.287273099995218,21.287273099995218,21.287273099995218,21.287273099995218,21.287273099995218,space,None,,0.18741889999364503,164587,001,2023-09-29_14h37.11.810,try_music_stroop,2022.2.5,60.15822816496914,
60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,105,60,30,60,0,7,7,7,,,,,,,,,,,,,,,,,,21.57221909999498,21.57221909999498,21.57221909999498,21.57221909999498,space,0.083979500021087,21.68520370000624,21.68520370000624,21.68520370000624,21.68520370000624,21.68520370000624,21.68520370000624,21.68520370000624,space,None,,0.1516639000037685,164587,001,2023-09-29_14h37.11.810,try_music_stroop,2022.2.5,60.15822816496914,
30,60,120,30,30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,0,8,8,8,,,,,,,,,,,,,,,,,,21.93587360001402,21.93587360001402,21.93587360001402,21.93587360001402,space,0.09150650002993643,22.055338500009384,22.055338500009384,22.055338500009384,22.055338500009384,22.055338500009384,22.055338500009384,22.055338500009384,space,None,,0.16773680000915192,164587,001,2023-09-29_14h37.11.810,try_music_stroop,2022.2.5,60.15822816496914,
