Participant1,Participant2,Participant3,Participant4,Participant5,Participant6,Participant7,Participant8,Participant9,Participant10,Participant11,Participant12,Participant13,Participant14,Participant15,Participant16,Participant17,Participant18,Participant19,Participant20,Participant21,Participant22,Participant23,Participant24,Participant25,Participant26,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,distractor.thisRepN,distractor.thisTrialN,distractor.thisN,distractor.thisIndex,word,color,correct,rand,text_instr.started,image_next.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,text_3.started,text_2.started,key_resp.started,text_4.started,key_resp.keys,key_resp.rt,key_resp_2.started,key_resp_3.started,text_5.started,stopb.started,stopl.started,stopr.started,text_6.started,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.753386200000023,17.753386200000023,6.780000012440723e-05,[0.5833333333333334],[-0.3951388888888889],[1],[0],[0],[3.221766099999968],['image_next'],,,,,,,,,,,,,,,,,,,192,001,2023-10-05_19h52.32.833,Demo_timePStroop,2022.2.5,60.08174722523356,
30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,0,0,0,0,,,,,,,,,,,,,,,,,,,20.96366160000025,20.96366160000025,20.96366160000025,20.96366160000025,['space'],[0.8625828999997793],21.88109590000022,21.88109590000022,21.88109590000022,21.88109590000022,21.88109590000022,21.88109590000022,21.88109590000022,space,0,0.14552429999957894,None,,192,001,2023-10-05_19h52.32.833,Demo_timePStroop,2022.2.5,60.08174722523356,
30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,105,0,1,1,1,,,,,,,,,,,,,,,,,,,22.11694430000034,22.11694430000034,22.11694430000034,22.11694430000034,['space'],[0.4934511999995266],22.655947600000218,22.655947600000218,22.655947600000218,22.655947600000218,22.655947600000218,22.655947600000218,22.655947600000218,space,0,0.16727199999968434,None,,192,001,2023-10-05_19h52.32.833,Demo_timePStroop,2022.2.5,60.08174722523356,
30,30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,0,2,2,2,,,,,,,,,,,,,,,,,,,22.911774100000002,22.911774100000002,22.911774100000002,22.911774100000002,['space'],[0.8588996999997107],23.809625900000356,23.809625900000356,23.809625900000356,23.809625900000356,23.809625900000356,23.809625900000356,23.809625900000356,space,0,0.14053089999970325,None,,192,001,2023-10-05_19h52.32.833,Demo_timePStroop,2022.2.5,60.08174722523356,
105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,105,60,0,3,3,3,,,,,,,,,,,,,,,,,,,24.046309400000155,24.046309400000155,24.046309400000155,24.046309400000155,['space'],[1.3422568999994837],25.425339800000074,25.425339800000074,25.425339800000074,25.425339800000074,25.425339800000074,25.425339800000074,25.425339800000074,space,0,0.14953019999984463,None,,192,001,2023-10-05_19h52.32.833,Demo_timePStroop,2022.2.5,60.08174722523356,
120,30,30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,0,4,4,4,,,,,,,,,,,,,,,,,,,25.68549400000029,25.68549400000029,25.68549400000029,25.68549400000029,['space'],[0.9235681999994085],26.66095660000019,26.66095660000019,26.66095660000019,26.66095660000019,26.66095660000019,26.66095660000019,26.66095660000019,space,0,0.15755519999947865,None,,192,001,2023-10-05_19h52.32.833,Demo_timePStroop,2022.2.5,60.08174722523356,
105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,105,60,30,0,5,5,5,,,,,,,,,,,,,,,,,,,26.91715720000002,26.91715720000002,26.91715720000002,26.91715720000002,['space'],[0.7269978999997875],27.693962199999987,27.693962199999987,27.693962199999987,27.693962199999987,27.693962199999987,27.693962199999987,27.693962199999987,space,0,0.13609969999970417,None,,192,001,2023-10-05_19h52.32.833,Demo_timePStroop,2022.2.5,60.08174722523356,
60,120,30,30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,0,6,6,6,,,,,,,,,,,,,,,,,,,27.934060600000066,27.934060600000066,27.934060600000066,27.934060600000066,['space'],[0.8777027999999518],168.31526180000037,168.31526180000037,168.31526180000037,168.31526180000037,168.31526180000037,168.31526180000037,168.31526180000037,space,0,6.504547999999886,None,4.9390685999997,192,001,2023-10-05_19h52.32.833,Demo_timePStroop,2022.2.5,60.08174722523356,
60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,105,60,30,60,0,7,7,7,,,,,,,,,,,,,,,,,,,174.91371660000004,174.91371660000004,174.91371660000004,174.91371660000004,['space'],[3.6829978999994637],265.762741,265.762741,265.762741,265.762741,265.762741,265.762741,265.762741,space,0,17.18815689999974,None,38.7402347999996,192,001,2023-10-05_19h52.32.833,Demo_timePStroop,2022.2.5,60.08174722523356,
30,60,120,30,30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,0,8,8,8,,,,,,,,,,,,,,,,,,,283.17996840000023,283.17996840000023,283.17996840000023,283.17996840000023,['space'],[8.712503599999309],319.06089569999995,319.06089569999995,319.06089569999995,319.06089569999995,319.06089569999995,319.06089569999995,319.06089569999995,space,0,0.9285008999995625,None,1.6176185999993322,192,001,2023-10-05_19h52.32.833,Demo_timePStroop,2022.2.5,60.08174722523356,
