Participant1,Participant2,Participant3,Participant4,Participant5,Participant6,Participant7,Participant8,Participant9,Participant10,Participant11,Participant12,Participant13,Participant14,Participant15,Participant16,Participant17,Participant18,Participant19,Participant20,Participant21,Participant22,Participant23,Participant24,Participant25,Participant26,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,distractor.thisRepN,distractor.thisTrialN,distractor.thisN,distractor.thisIndex,word,color,correct,rand,text_instr.started,image_next.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,text_3.started,text_2.started,key_resp.started,text_4.started,key_resp.keys,key_resp.rt,key_resp_2.started,text_5.started,stopb.started,stopl.started,stopr.started,text_6.started,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.590392899999642,15.590392899999642,5.4399999953602673e-05,[0.5729166666666666],[-0.37430555555555556],[1],[0],[0],[3.010894300000018],['image_next'],,,,,,,,,,,,,,,,,,193,001,2023-10-05_20h04.34.686,Demo_timePStroop,2022.2.5,59.92717649518156,
30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,0,0,0,0,,,,,,,,,,,,,,,,,,,18.59142759999986,18.59142759999986,18.59142759999986,18.59142759999986,['space'],[1.2004068999999618],19.84109539999963,19.84109539999963,19.84109539999963,19.84109539999963,19.84109539999963,19.84109539999963,space,0,1.3162860000002183,None,,193,001,2023-10-05_20h04.34.686,Demo_timePStroop,2022.2.5,59.92717649518156,
30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,105,0,1,1,1,,,,,,,,,,,,,,,,,,,21.254410300000018,21.254410300000018,21.254410300000018,21.254410300000018,['space'],[0.6769642999997814],21.965333699999974,21.965333699999974,21.965333699999974,21.965333699999974,21.965333699999974,21.965333699999974,space,0,0.5959124000000884,None,,193,001,2023-10-05_20h04.34.686,Demo_timePStroop,2022.2.5,59.92717649518156,
30,30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,0,2,2,2,,,,,,,,,,,,,,,,,,,22.654529199999615,22.654529199999615,22.654529199999615,22.654529199999615,['space'],[0.4180002000002787],23.113272199999756,23.113272199999756,23.113272199999756,23.113272199999756,23.113272199999756,23.113272199999756,space,0,0.623346699999729,None,,193,001,2023-10-05_20h04.34.686,Demo_timePStroop,2022.2.5,59.92717649518156,
105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,105,60,0,3,3,3,,,,,,,,,,,,,,,,,,,23.83997969999973,23.83997969999973,23.83997969999973,23.83997969999973,['space'],[0.2674795999996604],24.155032699999992,24.155032699999992,24.155032699999992,24.155032699999992,24.155032699999992,24.155032699999992,space,0,0.6946743000003153,None,,193,001,2023-10-05_20h04.34.686,Demo_timePStroop,2022.2.5,59.92717649518156,
120,30,30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,0,4,4,4,,,,,,,,,,,,,,,,,,,24.962198100000023,24.962198100000023,24.962198100000023,24.962198100000023,['space'],[0.4425593000000845],25.448596499999894,25.448596499999894,25.448596499999894,25.448596499999894,25.448596499999894,25.448596499999894,space,0,0.6153257000000849,None,,193,001,2023-10-05_20h04.34.686,Demo_timePStroop,2022.2.5,59.92717649518156,
105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,105,60,30,0,5,5,5,,,,,,,,,,,,,,,,,,,26.165797799999837,26.165797799999837,26.165797799999837,26.165797799999837,['space'],[0.3679298000001836],26.580939299999955,26.580939299999955,26.580939299999955,26.580939299999955,26.580939299999955,26.580939299999955,space,0,0.5797609999999622,None,,193,001,2023-10-05_20h04.34.686,Demo_timePStroop,2022.2.5,59.92717649518156,
60,120,30,30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,0,6,6,6,,,,,,,,,,,,,,,,,,,27.272955099999763,27.272955099999763,27.272955099999763,27.272955099999763,['space'],[0.41794630000003963],27.728751199999806,27.728751199999806,27.728751199999806,27.728751199999806,27.728751199999806,27.728751199999806,space,0,0.5915844999999536,None,,193,001,2023-10-05_20h04.34.686,Demo_timePStroop,2022.2.5,59.92717649518156,
60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,105,60,30,60,0,7,7,7,,,,,,,,,,,,,,,,,,,28.419472399999904,28.419472399999904,28.419472399999904,28.419472399999904,['space'],[0.43637760000001435],28.89374329999964,28.89374329999964,28.89374329999964,28.89374329999964,28.89374329999964,28.89374329999964,space,0,0.6425693999999567,None,,193,001,2023-10-05_20h04.34.686,Demo_timePStroop,2022.2.5,59.92717649518156,
30,60,120,30,30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,0,8,8,8,,,,,,,,,,,,,,,,,,,29.63625069999989,29.63625069999989,29.63625069999989,29.63625069999989,['space'],[0.4777153999998518],30.144105200000013,30.144105200000013,30.144105200000013,30.144105200000013,30.144105200000013,30.144105200000013,space,0,0.5016397999997935,None,,193,001,2023-10-05_20h04.34.686,Demo_timePStroop,2022.2.5,59.92717649518156,
