Participant1,Participant2,Participant3,Participant4,Participant5,Participant6,Participant7,Participant8,Participant9,Participant10,Participant11,Participant12,Participant13,Participant14,Participant15,Participant16,Participant17,Participant18,Participant19,Participant20,Participant21,Participant22,Participant23,Participant24,Participant25,Participant26,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,distractor.thisRepN,distractor.thisTrialN,distractor.thisN,distractor.thisIndex,word,color,correct,rand,text_instr.started,image_next.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,text_3.started,text_2.started,key_resp.started,text_4.started,key_resp.keys,key_resp.rt,key_resp_2.started,text_5.started,stopb.started,stopl.started,stopr.started,text_6.started,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.845595599996159,13.845595599996159,4.440000338945538e-05,[0.5930555555555556],[-0.4083333333333333],[1],[0],[0],[1.0466280999971787],['image_next'],,,,,,,,,,,,,,,,,655248,001,2023-10-12_15h58.29.621,Demo_timePStroop,2022.2.5,59.989333895528695,
30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,0,0,0,0,,,,,,,,,,,,,,,,,,,14.87194549999549,14.87194549999549,14.87194549999549,14.87194549999549,['space'],[0.8327117000153521],15.747138699996867,15.747138699996867,15.747138699996867,15.747138699996867,15.747138699996867,15.747138699996867,space,0.7591190000093775,None,,655248,001,2023-10-12_15h58.29.621,Demo_timePStroop,2022.2.5,59.989333895528695,
30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,105,0,1,1,1,,,,,,,,,,,,,,,,,,,16.761437499997555,16.761437499997555,16.761437499997555,16.761437499997555,['space'],[0.46182260000205133],17.26002579998749,17.26002579998749,17.26002579998749,17.26002579998749,17.26002579998749,17.26002579998749,space,0.9631712000118569,None,,655248,001,2023-10-12_15h58.29.621,Demo_timePStroop,2022.2.5,59.989333895528695,
30,30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,0,2,2,2,,,,,,,,,,,,,,,,,,,18.38071859999036,18.38071859999036,18.38071859999036,18.38071859999036,['space'],[0.3375860000087414],18.751536399999168,18.751536399999168,18.751536399999168,18.751536399999168,18.751536399999168,18.751536399999168,space,0.7078908000112278,None,,655248,001,2023-10-12_15h58.29.621,Demo_timePStroop,2022.2.5,59.989333895528695,
105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,105,60,0,3,3,3,,,,,,,,,,,,,,,,,,,19.687722799993935,19.687722799993935,19.687722799993935,19.687722799993935,['space'],[0.8495039000117686],20.581065199992736,20.581065199992736,20.581065199992736,20.581065199992736,20.581065199992736,20.581065199992736,space,0.5681142000103137,None,,655248,001,2023-10-12_15h58.29.621,Demo_timePStroop,2022.2.5,59.989333895528695,
120,30,30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,0,4,4,4,,,,,,,,,,,,,,,,,,,21.366102899992256,21.366102899992256,21.366102899992256,21.366102899992256,['space'],[0.11237010001786985],21.523170399988885,21.523170399988885,21.523170399988885,21.523170399988885,21.523170399988885,21.523170399988885,space,0.2859671000187518,None,,655248,001,2023-10-12_15h58.29.621,Demo_timePStroop,2022.2.5,59.989333895528695,
105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,105,60,30,0,5,5,5,,,,,,,,,,,,,,,,,,,21.968432299996493,21.968432299996493,21.968432299996493,21.968432299996493,['space'],[0.2509840999991866],22.267178899986902,22.267178899986902,22.267178899986902,22.267178899986902,22.267178899986902,22.267178899986902,space,0.3064180000073975,None,,655248,001,2023-10-12_15h58.29.621,Demo_timePStroop,2022.2.5,59.989333895528695,
60,120,30,30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,0,6,6,6,,,,,,,,,,,,,,,,,,,22.749098599990248,22.749098599990248,22.749098599990248,22.749098599990248,['space'],[0.13937810000788886],22.93356119999953,22.93356119999953,22.93356119999953,22.93356119999953,22.93356119999953,22.93356119999953,space,0.367104200005997,None,,655248,001,2023-10-12_15h58.29.621,Demo_timePStroop,2022.2.5,59.989333895528695,
60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,105,60,30,60,0,7,7,7,,,,,,,,,,,,,,,,,,,23.53972009998688,23.53972009998688,23.53972009998688,23.53972009998688,['space'],[0.12944210000569],23.70451919999323,23.70451919999323,23.70451919999323,23.70451919999323,23.70451919999323,23.70451919999323,space,4.047661600008723,None,,655248,001,2023-10-12_15h58.29.621,Demo_timePStroop,2022.2.5,59.989333895528695,
30,60,120,30,30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,0,8,8,8,,,,,,,,,,,,,,,,,,,27.948946199991042,27.948946199991042,27.948946199991042,27.948946199991042,['space'],[0.3250174000131665],28.32661229999212,28.32661229999212,28.32661229999212,28.32661229999212,28.32661229999212,28.32661229999212,space,0.5410999000014272,None,,655248,001,2023-10-12_15h58.29.621,Demo_timePStroop,2022.2.5,59.989333895528695,
120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,0,9,9,9,,,,,,,,,,,,,,,,,,,29.107304299992393,29.107304299992393,29.107304299992393,29.107304299992393,['space'],[0.9120937999978196],80.27830809999432,80.27830809999432,80.27830809999432,80.27830809999432,80.27830809999432,80.27830809999432,space,0.5324645000218879,None,0.430695300019579,655248,001,2023-10-12_15h58.29.621,Demo_timePStroop,2022.2.5,59.989333895528695,
60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,0,10,10,10,,,,,,,,,,,,,,,,,,,81.0684048999974,81.0684048999974,81.0684048999974,81.0684048999974,['space'],[1.0705878000153461],82.17270839998673,82.17270839998673,82.17270839998673,82.17270839998673,82.17270839998673,82.17270839998673,space,4.609645600008662,None,,655248,001,2023-10-12_15h58.29.621,Demo_timePStroop,2022.2.5,59.989333895528695,
120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,0,11,11,11,,,,,,,,,,,,,,,,,,,87.01177569999709,87.01177569999709,87.01177569999709,87.01177569999709,['space'],[0.2675479000172345],87.32324689999223,87.32324689999223,87.32324689999223,87.32324689999223,87.32324689999223,87.32324689999223,space,0.545227500013425,None,,655248,001,2023-10-12_15h58.29.621,Demo_timePStroop,2022.2.5,59.989333895528695,
105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,0,12,12,12,,,,,,,,,,,,,,,,,,,88.04814919999626,88.04814919999626,88.04814919999626,88.04814919999626,['space'],[0.07947220001369715],88.17076209999504,88.17076209999504,88.17076209999504,88.17076209999504,88.17076209999504,88.17076209999504,space,0.32264380001288373,None,,655248,001,2023-10-12_15h58.29.621,Demo_timePStroop,2022.2.5,59.989333895528695,
120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,0,13,13,13,,,,,,,,,,,,,,,,,,,88.76062039998942,88.76062039998942,88.76062039998942,88.76062039998942,['space'],[-0.026853499992284924],88.7872830999986,88.7872830999986,88.7872830999986,88.7872830999986,88.7872830999986,88.7872830999986,space,111.48811080001178,None,,655248,001,2023-10-12_15h58.29.621,Demo_timePStroop,2022.2.5,59.989333895528695,
60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,0,14,14,14,,,,,,,,,,,,,,,,,,,200.79364299999725,200.79364299999725,200.79364299999725,200.79364299999725,['space'],[0.6729702000011457],201.56195289999596,201.56195289999596,201.56195289999596,201.56195289999596,201.56195289999596,201.56195289999596,space,1.2312405000120634,None,,655248,001,2023-10-12_15h58.29.621,Demo_timePStroop,2022.2.5,59.989333895528695,
105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,0,15,15,15,,,,,,,,,,,,,,,,,,,203.04068919998826,203.04068919998826,203.04068919998826,203.04068919998826,['space'],[0.031478100005188026],203.12381679999817,203.12381679999817,203.12381679999817,203.12381679999817,203.12381679999817,203.12381679999817,space,0.5155424000113271,None,,655248,001,2023-10-12_15h58.29.621,Demo_timePStroop,2022.2.5,59.989333895528695,
