Participant1,Participant2,Participant3,Participant4,Participant5,Participant6,Participant7,Participant8,Participant9,Participant10,Participant11,Participant12,Participant13,Participant14,Participant15,Participant16,Participant17,Participant18,Participant19,Participant20,Participant21,Participant22,Participant23,Participant24,Participant25,Participant26,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,distractor.thisRepN,distractor.thisTrialN,distractor.thisN,distractor.thisIndex,word,color,correct,rand,text_instr.started,image_next.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,text_3.started,text_2.started,key_resp.started,text_4.started,key_resp.keys,key_resp.rt,key_resp_2.started,text_5.started,stopb.started,stopl.started,stopr.started,text_6.started,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.02324520004913,88.02324520004913,4.47999918833375e-05,[0.6298611111111111],[-0.4041666666666667],[1],[0],[0],[1.5724584000417963],['image_next'],,,,,,,,,,,,,,,,,definitiv2,001,2023-10-10_18h10.24.668,Demo_timePStroop,2022.2.5,59.929474987052934,
30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,0,0,0,0,,,,,,,,,,,,,,,,,,,89.58414310001535,89.58414310001535,89.58414310001535,89.58414310001535,['space'],[3.7925968000199646],93.47474700002931,93.47474700002931,93.47474700002931,93.47474700002931,93.47474700002931,93.47474700002931,space,0.0987899000174366,None,,definitiv2,001,2023-10-10_18h10.24.668,Demo_timePStroop,2022.2.5,59.929474987052934,
30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,105,0,1,1,1,,,,,,,,,,,,,,,,,,,93.82100860000355,93.82100860000355,93.82100860000355,93.82100860000355,['space'],[1.1183060000184923],95.01648210000712,95.01648210000712,95.01648210000712,95.01648210000712,95.01648210000712,95.01648210000712,space,0.08569320000242442,None,,definitiv2,001,2023-10-10_18h10.24.668,Demo_timePStroop,2022.2.5,59.929474987052934,
30,30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,0,2,2,2,,,,,,,,,,,,,,,,,,,95.38112570001977,95.38112570001977,95.38112570001977,95.38112570001977,['space'],[0.29868049995275214],95.72734520002268,95.72734520002268,95.72734520002268,95.72734520002268,95.72734520002268,95.72734520002268,space,0.03756789996987209,None,,definitiv2,001,2023-10-10_18h10.24.668,Demo_timePStroop,2022.2.5,59.929474987052934,
105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,105,60,0,3,3,3,,,,,,,,,,,,,,,,,,,95.97605890000705,95.97605890000705,95.97605890000705,95.97605890000705,['space'],[0.12463400000706315],96.1754475000198,96.1754475000198,96.1754475000198,96.1754475000198,96.1754475000198,96.1754475000198,space,0.5150509999948554,None,,definitiv2,001,2023-10-10_18h10.24.668,Demo_timePStroop,2022.2.5,59.929474987052934,
120,30,30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,0,4,4,4,,,,,,,,,,,,,,,,,,,96.89058860001387,96.89058860001387,96.89058860001387,96.89058860001387,['space'],[0.09397800004808232],97.04789170000004,97.04789170000004,97.04789170000004,97.04789170000004,97.04789170000004,97.04789170000004,space,1.2814126000157557,None,,definitiv2,001,2023-10-10_18h10.24.668,Demo_timePStroop,2022.2.5,59.929474987052934,
105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,105,60,30,0,5,5,5,,,,,,,,,,,,,,,,,,,98.58169380004983,98.58169380004983,98.58169380004983,98.58169380004983,['space'],[0.7864913000375964],99.43292200000724,99.43292200000724,99.43292200000724,99.43292200000724,99.43292200000724,99.43292200000724,space,0.4850138000329025,None,,definitiv2,001,2023-10-10_18h10.24.668,Demo_timePStroop,2022.2.5,59.929474987052934,
60,120,30,30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,0,6,6,6,,,,,,,,,,,,,,,,,,,100.10049440001603,100.10049440001603,100.10049440001603,100.10049440001603,['space'],[1.134014000010211],101.30116270005237,101.30116270005237,101.30116270005237,101.30116270005237,101.30116270005237,101.30116270005237,space,0.1877783000236377,None,,definitiv2,001,2023-10-10_18h10.24.668,Demo_timePStroop,2022.2.5,59.929474987052934,
60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,105,60,30,60,0,7,7,7,,,,,,,,,,,,,,,,,,,101.73549030005233,101.73549030005233,101.73549030005233,101.73549030005233,['space'],[4.923203199985437],106.70912840001984,106.70912840001984,106.70912840001984,106.70912840001984,106.70912840001984,106.70912840001984,space,0.24962689995300025,None,,definitiv2,001,2023-10-10_18h10.24.668,Demo_timePStroop,2022.2.5,59.929474987052934,
30,60,120,30,30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,0,8,8,8,,,,,,,,,,,,,,,,,,,107.22532550001051,107.22532550001051,107.22532550001051,107.22532550001051,['space'],[6.752049700007774],114.03944520000368,114.03944520000368,114.03944520000368,114.03944520000368,114.03944520000368,114.03944520000368,space,0.3673780999961309,None,,definitiv2,001,2023-10-10_18h10.24.668,Demo_timePStroop,2022.2.5,59.929474987052934,
120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,0,9,9,9,,,,,,,,,,,,,,,,,,,114.66547580005135,114.66547580005135,114.66547580005135,114.66547580005135,['space'],[4.028331200010143],118.76113440003246,118.76113440003246,118.76113440003246,118.76113440003246,118.76113440003246,118.76113440003246,space,0.13641889998689294,None,,definitiv2,001,2023-10-10_18h10.24.668,Demo_timePStroop,2022.2.5,59.929474987052934,
60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,0,10,10,10,,,,,,,,,,,,,,,,,,,119.15526200004388,119.15526200004388,119.15526200004388,119.15526200004388,['space'],[2.0923922999645583],121.31126780004706,121.31126780004706,121.31126780004706,121.31126780004706,121.31126780004706,121.31126780004706,space,0.3415311999851838,None,,definitiv2,001,2023-10-10_18h10.24.668,Demo_timePStroop,2022.2.5,59.929474987052934,
120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,0,11,11,11,,,,,,,,,,,,,,,,,,,121.91965830000117,121.91965830000117,121.91965830000117,121.91965830000117,['space'],[1.4174237999832258],123.38742500002263,123.38742500002263,123.38742500002263,123.38742500002263,123.38742500002263,123.38742500002263,space,0.46797800000058487,None,,definitiv2,001,2023-10-10_18h10.24.668,Demo_timePStroop,2022.2.5,59.929474987052934,
