Participant1,Participant2,Participant3,Participant4,Participant5,Participant6,Participant7,Participant8,Participant9,Participant10,Participant11,Participant12,Participant13,Participant14,Participant15,Participant16,Participant17,Participant18,Participant19,Participant20,Participant21,Participant22,Participant23,Participant24,Participant25,Participant26,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,distractor.thisRepN,distractor.thisTrialN,distractor.thisN,distractor.thisIndex,word,color,correct,rand,text_instr.started,image_next.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,text_3.started,text_2.started,key_resp.started,text_4.started,key_resp.keys,key_resp.rt,key_resp_2.started,text_5.started,stopb.started,stopl.started,stopr.started,text_6.started,key_resp_2.keys,key_resp_2.corr,key_resp_3.keys,key_resp_3.rt,key_resp_2.rt,participant,session,date,expName,psychopyVersion,frameRate,Tiempo
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.1477832,18.1477832,5.31E-05,[0.6027777777777777],[-0.3923611111111111],[1],[0],[0],[1.8789071000064723],['image_next'],,,,,,,,,,,,,,,,,,definitiv,1,2023-10-10_17h16.21.588,Demo_timePStroop,2022.2.5,59.99354469,
30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,0,0,0,0,,,,,,,,,,,,,,,,,,,20.0260874,20.0260874,20.0260874,20.0260874,['space'],3.3296825,50.0011342,50.0011342,50.0011342,50.0011342,50.0011342,50.0011342,space,0,None,1.2653555,0.4354752,definitiv,1,2023-10-10_17h16.21.588,Demo_timePStroop,2022.2.5,59.99354469,27.0808395
30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,105,0,1,1,1,,,,,,,,,,,,,,,,,,,50.5598511,50.5598511,50.5598511,50.5598511,['space'],1.8760618,82.7740214,82.7740214,82.7740214,82.7740214,82.7740214,82.7740214,space,0,None,1.041843,0.2773408,definitiv,1,2023-10-10_17h16.21.588,Demo_timePStroop,2022.2.5,59.99354469,30.6154493
30,30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,0,2,2,2,,,,,,,,,,,,,,,,,,,83.2024343,83.2024343,83.2024343,83.2024343,['space'],0.8226186,122.2018615,122.2018615,122.2018615,122.2018615,122.2018615,122.2018615,space,0,None,2.2216954,0.2243209,definitiv,1,2023-10-10_17h16.21.588,Demo_timePStroop,2022.2.5,59.99354469,38.4011295
105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,105,60,0,3,3,3,,,,,,,,,,,,,,,,,,,122.5617595,122.5617595,122.5617595,122.5617595,['space'],0.9781358,212.1412834,212.1412834,212.1412834,212.1412834,212.1412834,212.1412834,space,0,None,3.55394,7.6212111,definitiv,1,2023-10-10_17h16.21.588,Demo_timePStroop,2022.2.5,59.99354469,96.2225992
120,30,30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,0,4,4,4,,,,,,,,,,,,,,,,,,,219.8767054,219.8767054,219.8767054,219.8767054,['space'],0.9719591,329.0639173,329.0639173,329.0639173,329.0639173,329.0639173,329.0639173,space,0,None,1.6258551,1.8429323,definitiv,1,2023-10-10_17h16.21.588,Demo_timePStroop,2022.2.5,59.99354469,110.0581851
105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,105,60,30,0,5,5,5,,,,,,,,,,,,,,,,,,,331.1916717,331.1916717,331.1916717,331.1916717,['space'],39.8693535,487.2085801,487.2085801,487.2085801,487.2085801,487.2085801,487.2085801,space,0,None,1.7409597,3.1166804,definitiv,1,2023-10-10_17h16.21.588,Demo_timePStroop,2022.2.5,59.99354469,119.2642353
60,120,30,30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,0,6,6,6,,,,,,,,,,,,,,,,,,,490.7941655,490.7941655,490.7941655,490.7941655,['space'],1.1627419,538.8252754,538.8252754,538.8252754,538.8252754,538.8252754,538.8252754,space,0,None,0.9803882,4.2488494,definitiv,1,2023-10-10_17h16.21.588,Demo_timePStroop,2022.2.5,59.99354469,51.1172174
60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,105,60,30,60,0,7,7,7,,,,,,,,,,,,,,,,,,,543.4135118,543.4135118,543.4135118,543.4135118,['space'],0.7431291,594.1784845,594.1784845,594.1784845,594.1784845,594.1784845,594.1784845,space,0,None,12.120997,7.5290618,definitiv,1,2023-10-10_17h16.21.588,Demo_timePStroop,2022.2.5,59.99354469,57.5509054
30,60,120,30,30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,0,8,8,8,,,,,,,,,,,,,,,,,,,601.954002,601.954002,601.954002,601.954002,['space'],0.9664339,635.3764123,635.3764123,635.3764123,635.3764123,635.3764123,635.3764123,space,0,None,1.3536474,0.7843631,definitiv,1,2023-10-10_17h16.21.588,Demo_timePStroop,2022.2.5,59.99354469,33.2403395
