Psubj,Attribute,Value,cond,Unique,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,distractor.thisRepN,distractor.thisTrialN,distractor.thisN,distractor.thisIndex,word,color,correct,rand,text.started,key_resp_4.started,text_instr.started,key_resp_4.keys,key_resp_4.rt,text_3.started,text_2.started,key_resp.started,text_4.started,key_resp.keys,key_resp.rt,key_resp_2.started,text_5.started,stopb.started,stopl.started,stopr.started,text_6.started,key_resp_2.keys,key_resp_2.rt,Stroop_response.keys,Stroop_response.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,10.353047500015236,13.367348100000527,13.367348100000527,space,3.4226908000418916,,,,,,,,,,,,,,,,,311585,001,2023-10-17_17h44.39.570,Main,2022.2.5,59.92861302281393,
1,est1,105,0.0,None,0,0,0,0,,,,,,,,,,,,,,19.734849800006486,19.734849800006486,19.734849800006486,19.734849800006486,['space'],[3.493508899991866],23.82309040002292,23.82309040002292,23.82309040002292,23.82309040002292,23.82309040002292,23.82309040002292,space,1.4120843999553472,None,,311585,001,2023-10-17_17h44.39.570,Main,2022.2.5,59.92861302281393,
1,est2,30,0.1,None,0,1,1,1,,,,,,,,,,,,,,25.471434300008696,25.471434300008696,25.471434300008696,25.471434300008696,['space'],[0.4514628000324592],28.088298699993175,28.088298699993175,28.088298699993175,28.088298699993175,28.088298699993175,28.088298699993175,space,0.5533423000015318,None,0.062093199987430125,311585,001,2023-10-17_17h44.39.570,Main,2022.2.5,59.92861302281393,
1,est3,120,0.1,None,0,2,2,2,,,,,,,,,,,,,,28.816367899999022,28.816367899999022,28.816367899999022,28.816367899999022,['space'],[1.451840199995786],33.629329000017606,33.629329000017606,33.629329000017606,33.629329000017606,33.629329000017606,33.629329000017606,space,0.6847028999472968,None,0.17606999998679385,311585,001,2023-10-17_17h44.39.570,Main,2022.2.5,59.92861302281393,
1,est4,30,0.1,None,0,3,3,3,,,,,,,,,,,,,,34.52968169999076,34.52968169999076,34.52968169999076,34.52968169999076,['space'],[0.663964000006672],35.229277200007346,35.229277200007346,35.229277200007346,35.229277200007346,35.229277200007346,35.229277200007346,space,0.5178167999838479,None,,311585,001,2023-10-17_17h44.39.570,Main,2022.2.5,59.92861302281393,
1,est5,105,0.0,None,0,4,4,4,,,,,,,,,,,,,,35.96938399999635,35.96938399999635,35.96938399999635,35.96938399999635,['space'],[0.40581999998539686],36.42249379999703,36.42249379999703,36.42249379999703,36.42249379999703,36.42249379999703,36.42249379999703,space,1.9717231999966316,None,,311585,001,2023-10-17_17h44.39.570,Main,2022.2.5,59.92861302281393,
1,est6,120,0.1,None,0,5,5,5,,,,,,,,,,,,,,38.64388180000242,38.64388180000242,38.64388180000242,38.64388180000242,['space'],[0.2495581000111997],38.954635600035544,38.954635600035544,38.954635600035544,38.954635600035544,38.954635600035544,38.954635600035544,space,0.38895970000885427,None,,311585,001,2023-10-17_17h44.39.570,Main,2022.2.5,59.92861302281393,
1,est7,120,0.0,None,0,6,6,6,,,,,,,,,,,,,,39.54264300002251,39.54264300002251,39.54264300002251,39.54264300002251,['space'],[0.2689957999973558],39.86882319999859,39.86882319999859,39.86882319999859,39.86882319999859,39.86882319999859,39.86882319999859,space,0.5781480000005104,None,,311585,001,2023-10-17_17h44.39.570,Main,2022.2.5,59.92861302281393,
1,est8,60,0.0,None,0,7,7,7,,,,,,,,,,,,,,40.69016510003712,40.69016510003712,40.69016510003712,40.69016510003712,['space'],[0.23589949996676296],40.979352199996356,40.979352199996356,40.979352199996356,40.979352199996356,40.979352199996356,40.979352199996356,space,0.5105608999729156,None,,311585,001,2023-10-17_17h44.39.570,Main,2022.2.5,59.92861302281393,
1,est9,30,0.0,None,0,8,8,8,,,,,,,,,,,,,,41.764386800001375,41.764386800001375,41.764386800001375,41.764386800001375,['space'],[0.026446199975907803],41.82526880002115,41.82526880002115,41.82526880002115,41.82526880002115,41.82526880002115,41.82526880002115,space,0.4396237999899313,None,,311585,001,2023-10-17_17h44.39.570,Main,2022.2.5,59.92861302281393,
1,est10,60,0.0,None,0,9,9,9,,,,,,,,,,,,,,42.511176500003785,42.511176500003785,42.511176500003785,42.511176500003785,['space'],[0.3284762999974191],42.87640480004484,42.87640480004484,42.87640480004484,42.87640480004484,42.87640480004484,42.87640480004484,space,0.41791630000807345,None,,311585,001,2023-10-17_17h44.39.570,Main,2022.2.5,59.92861302281393,
1,est11,105,0.1,None,0,10,10,10,,,,,,,,,,,,,,43.52977280004416,43.52977280004416,43.52977280004416,43.52977280004416,['space'],[0.051947400032076985],43.63131250004517,43.63131250004517,43.63131250004517,43.63131250004517,43.63131250004517,43.63131250004517,space,0.9987117999698967,None,,311585,001,2023-10-17_17h44.39.570,Main,2022.2.5,59.92861302281393,
,,,,,,,,,,,,,,,,,,,,,,44.92109670001082,44.92109670001082,44.92109670001082,44.92109670001082,,,,,,,,,,,,,,,,,,,
